,clean_tweet,label,agreement,emotion
5193,"('mosdef', 'couldnt', 'live', 'dorms', 'college', 'without', 'certain', 'boosters', 'meningitis', 'vaccine', 'remember', 'schools')",1.0,1.0,positive
3694,"('myrtle', 'ave')",0.0,1.0,neutral
4017,"('come', 'feel', 'love')",0.0,1.0,neutral
4993,"('well', 'game', 'safely', 'say', 'im', 'k', 'mmr', 'wtf', 'drafts', 'd')",0.0,1.0,neutral
5792,"('nv', 'better', 'states', 'best', 'worst', 'vaccinating', 'kids')",1.0,1.0,positive
1184,"('arizona', 'monitoring', 'people', 'measles', 'linked', 'disneyland', 'cbs', 'news')",0.0,1.0,neutral
1742,"('lmfao', 'people', 'argue', 'vaccines', 'kids', 'immune', 'system', 'handle', 'vaccinate', 'kids', 'idk', 'hard')",1.0,1.0,positive
166,"('measles', 'outbreak', 'vaccinate', 'vaccinate')",0.0,0.6666666666666666,neutral
5728,"('thousands', 'die', 'gunsthousands', 'press', 'mds', 'mmr', 'titersall', 'due', 'irresponsible', 'idiots', 'put', 'others', 'lives', 'risk')",1.0,0.6666666666666666,positive
9862,"('im', 'im', 'age', 'measles', 'mumps', 'amp', 'chicken', 'pox', 'experienced', 'firsthand', 'still', 'recall')",0.0,0.6666666666666666,neutral
4962,"('disney', 'measles', 'outbreak', 'mousetrap', 'ignorance')",0.0,0.6666666666666666,neutral
8513,"('propose', 'solution', 'measles', 'epidemic', 'professor', 'wants', 'creativity', 'didnt', 'say', 'ethical', 'humane')",0.0,1.0,neutral
8587,"('sale', 'today')",0.0,1.0,neutral
8218,"('think', 'insanity', 'people', 'dont', 'vaccinate', 'pets', 'hell', 'think', 'vaccinating', 'children')",1.0,1.0,positive
9205,"('study', 'vaccination', 'measles', 'may', 'benefits', 'new', 'study', 'suggests', 'measles', 'shot', 'comes')",1.0,1.0,positive
1866,"('reasons', 'one', 'vaccinate', 'kids', 'via')",-1.0,1.0,negative
2940,"('marin', 'co', 'health', 'officer', 'two', 'children', 'contact', 'children', 'school', 'possible', 'transmission', 'time')",0.0,0.6666666666666666,neutral
2675,"('stop', 'blaming', 'first', 'now', 'diseasesbrought', 'ancestors')",0.0,0.6666666666666666,neutral
4648,"('think', 'vaccinations', 'enforced', 'want', 'child', 'suffer', 'illnesses')",1.0,1.0,positive
1182,"('never', 'circumstances', 'give', 'immunity', 'looks', 'crooked', 'scandal', 'behind')",0.0,1.0,neutral
4320,"('measles', 'mumps', 'gash', 'rash', 'purple', 'bumps')",0.0,1.0,neutral
2911,"('safe',)",0.0,0.6666666666666666,neutral
3517,"('large', 'measles', 'outbreak', 'traced', 'disneyland', 'declared', 'california', 'health', 'authorities', 'friday', 'declared')",0.0,1.0,neutral
